I_led;V_ir;V_red;V_yellow;V_green;V_blue;V_white;V_ph
0.01;0.094;1.445;1.653;2.27;2.33;2.42;0.366
0.02;0.183;1.477;1.684;2.31;2.38;2.45;0.39
0.04;;;1.712;;;;0.416
0.06;0.46;1.525;1.729;2.39;2.45;2.49;0.429
0.08;;;1.741;;;;
0.1;0.649;1.55;1.751;2.43;2.48;2.5;0.448
0.2;0.936;1.578;1.778;2.48;2.52;2.53;
0.4;1.175;;1.806;2.52;;;0.504
0.6;1.212;1.622;1.822;2.58;2.6;2.58;0.525
0.8;;;1.835;;;;
1;1.241;1.641;1.844;2.64;2.65;2.61;0.544
1.5;;;1.86;;;;
2;;;1.873;;;;0.577
3;1.287;1.687;1.891;2.8;2.79;2.7;0.605
4;;;1.906;;;;0.621
5;1.305;1.713;1.918;2.9;2.87;2.76;0.626
6;;;1.93;;;;
7;;;1.938;;;;
8;1.324;1.744;1.945;3.01;2.97;2.83;0.653
9;;;1.953;;;;
10;;;1.96;;;;
11;1.337;1.77;1.966;3.09;3.05;2.88;0.672
12;;;1.972;;;;
13;;;1.977;;;;
14;1.348;1.794;1.983;3.16;3.1;2.92;0.685
15;;;1.987;;;;
16;;;1.99;;;;
17;1.358;1.814;1.99;3.22;3.16;2.96;0.697
18;;;2;;;;
19;;;2;;;;
20;1.368;1.836;2;3.26;3.2;2.99;0.708
